sessionId,timestamp,itemId,category
1,2022-04-30T21:17:16Z,59508,5
1,2022-04-30T21:17:16Z,59508,5
1,2022-04-30T21:21:35Z,32914,5
1,2022-04-30T21:21:35Z,32914,5
1,2022-04-30T21:22:03Z,11859,4
2,2022-05-27T16:21:05Z,1702,5
2,2022-05-27T16:21:05Z,1702,3
2,2022-05-27T16:21:21Z,1157,3
2,2022-05-27T16:21:21Z,1157,4
2,2022-05-27T16:21:24Z,19175,3
2,2022-05-27T16:21:24Z,19175,4
2,2022-05-27T16:21:26Z,14735,5
2,2022-05-27T16:21:26Z,14735,3
2,2022-05-27T16:21:28Z,45370,3
2,2022-05-27T16:21:28Z,45370,4
2,2022-05-27T16:21:32Z,23446,3
2,2022-05-27T16:21:32Z,23446,4
3,2022-03-02T19:43:25Z,44570,5
3,2022-03-02T19:45:52Z,44570,5
3,2022-03-02T19:50:57Z,28252,5
3,2022-03-02T19:50:57Z,28252,4
3,2022-03-02T19:51:02Z,44570,5
3,2022-03-02T19:51:06Z,27870,5
3,2022-03-02T19:51:06Z,27870,4
3,2022-03-02T19:51:10Z,44570,5
3,2022-03-02T19:51:13Z,31851,5
4,2022-03-16T14:54:07Z,40609,5
4,2022-03-16T14:54:07Z,40609,4
5,2022-05-05T03:12:10Z,41358,5
5,2022-05-05T03:12:10Z,41358,4
5,2022-05-05T03:15:28Z,29843,5
5,2022-05-05T03:17:19Z,5058,5
5,2022-05-05T03:17:19Z,5058,4
6,2022-04-28T14:26:10Z,44643,3
6,2022-04-28T14:26:10Z,44643,3
6,2022-04-28T14:26:28Z,7389,3
6,2022-04-28T14:26:28Z,7389,3
7,2022-05-17T00:32:08Z,259,3
7,2022-05-17T00:32:08Z,259,3
8,2022-04-27T02:47:53Z,45633,5
8,2022-04-27T02:48:30Z,10708,5
8,2022-04-27T02:48:30Z,10708,5
8,2022-04-27T02:48:52Z,37483,5
8,2022-04-27T02:49:46Z,37483,5
8,2022-04-27T02:49:46Z,37483,5
8,2022-04-27T02:49:49Z,10708,5
8,2022-04-27T03:01:01Z,11138,5
8,2022-04-27T03:01:01Z,11138,4
8,2022-04-27T03:01:42Z,16492,5
9,2022-05-07T23:10:22Z,34699,3
9,2022-05-07T23:10:22Z,34699,3
10,2022-03-03T18:35:23Z,19724,3
10,2022-03-03T18:35:23Z,19724,3
10,2022-03-03T18:37:14Z,59161,3
10,2022-03-03T18:37:14Z,59161,3
10,2022-03-03T18:39:25Z,32796,3
10,2022-03-03T18:39:25Z,32796,3
10,2022-03-03T18:40:14Z,10128,5
10,2022-03-03T18:40:14Z,10128,5
10,2022-03-03T18:41:01Z,60046,5
10,2022-03-03T18:41:01Z,60046,5
10,2022-03-03T18:41:12Z,11341,5
10,2022-03-03T18:41:12Z,11341,5
10,2022-03-03T18:41:52Z,37073,5
10,2022-03-03T18:41:52Z,37073,5
11,2022-04-22T18:04:00Z,16370,5
11,2022-04-22T18:19:19Z,17222,3
11,2022-04-22T18:19:19Z,17222,3
12,2022-05-03T22:48:12Z,14919,3
12,2022-05-03T22:48:12Z,14919,3
12,2022-05-03T22:50:23Z,14919,3
12,2022-05-03T22:50:23Z,14919,3
12,2022-05-03T23:05:58Z,12109,5
12,2022-05-03T23:05:58Z,12109,3
12,2022-05-03T23:06:07Z,14919,3
12,2022-05-03T23:06:07Z,14919,3
12,2022-05-03T23:16:32Z,14919,3
12,2022-05-03T23:16:32Z,14919,3
13,2022-04-10T08:12:49Z,35480,5
14,2022-05-18T01:43:47Z,22906,3
14,2022-05-18T01:43:47Z,22906,3
14,2022-05-18T01:44:14Z,22906,3
14,2022-05-18T01:44:14Z,22906,3
15,2022-05-26T19:21:04Z,14865,3
15,2022-05-26T19:21:04Z,14865,3
15,2022-05-26T19:23:27Z,933,3
15,2022-05-26T19:23:28Z,933,3
15,2022-05-26T19:23:47Z,48801,3
15,2022-05-26T19:24:03Z,41700,3
15,2022-05-26T19:24:19Z,52987,3
15,2022-05-26T19:25:04Z,41700,3
15,2022-05-26T19:26:45Z,3183,3
15,2022-05-26T19:26:45Z,3183,3
15,2022-05-26T19:27:45Z,54051,3
15,2022-05-26T19:27:45Z,54051,3
15,2022-05-26T19:30:04Z,31854,3
15,2022-05-26T19:30:04Z,31854,3
15,2022-05-26T19:31:06Z,52200,3
15,2022-05-26T19:31:06Z,52200,3
16,2022-04-05T03:57:01Z,52720,3
16,2022-04-05T03:57:01Z,52720,3
16,2022-04-05T03:57:28Z,12572,3
16,2022-04-05T04:02:13Z,52720,3
16,2022-04-05T04:05:14Z,6357,3
16,2022-04-05T04:05:14Z,6357,3
17,2022-05-13T12:43:38Z,22338,3
17,2022-05-13T12:43:38Z,22338,3
18,2022-05-26T04:56:29Z,30087,3
18,2022-05-26T04:56:29Z,30087,3
18,2022-05-26T04:57:11Z,61775,3
18,2022-05-26T04:57:11Z,61775,3
18,2022-05-26T04:57:34Z,46313,3
18,2022-05-26T04:57:34Z,46313,3
18,2022-05-26T04:57:47Z,13016,3
19,2022-05-19T02:03:22Z,58735,5
19,2022-05-19T02:09:17Z,11160,5
19,2022-05-19T02:09:17Z,11160,5
20,2022-05-19T17:24:01Z,43844,5
20,2022-05-19T17:24:01Z,43844,4
20,2022-05-19T17:24:30Z,37858,5
20,2022-05-19T17:24:43Z,134,5
21,2022-05-17T07:36:48Z,47480,5
21,2022-05-17T07:36:48Z,47480,5
21,2022-05-17T07:47:51Z,36068,3
21,2022-05-17T07:47:51Z,36068,3
21,2022-05-17T07:48:57Z,22389,4
21,2022-05-17T07:51:19Z,31365,5
21,2022-05-17T07:51:19Z,31365,5
21,2022-05-17T08:05:14Z,1712,3
21,2022-05-17T08:05:14Z,1712,3
21,2022-05-17T08:06:28Z,36205,3
21,2022-05-17T08:06:40Z,32487,3
21,2022-05-17T08:06:41Z,36205,3
21,2022-05-17T08:06:44Z,32487,3
21,2022-05-17T08:10:57Z,2607,3
21,2022-05-17T08:13:22Z,22160,3
21,2022-05-17T08:13:22Z,22160,3
21,2022-05-17T08:26:00Z,56276,3
21,2022-05-17T08:28:44Z,42485,5
21,2022-05-17T08:29:09Z,4133,4
21,2022-05-17T08:29:36Z,18706,5
21,2022-05-17T08:30:18Z,21606,5
22,2022-03-10T05:00:23Z,51799,3
22,2022-03-10T05:00:24Z,51799,3
22,2022-03-10T05:00:45Z,2211,5
23,2022-03-08T15:14:39Z,30172,5
23,2022-03-08T15:14:55Z,46759,5
24,2022-05-03T01:08:11Z,41646,5
24,2022-05-03T01:08:11Z,41646,5
24,2022-05-03T01:10:43Z,33005,5
24,2022-05-03T01:10:43Z,33005,5
24,2022-05-03T01:11:12Z,9664,5
24,2022-05-03T01:11:12Z,9664,5
24,2022-05-03T01:13:15Z,10271,4
24,2022-05-03T01:26:56Z,60639,5
24,2022-05-03T01:26:56Z,60639,5
25,2022-04-24T17:27:52Z,50641,3
25,2022-04-24T17:27:52Z,50641,3
25,2022-04-24T17:28:21Z,8211,3
26,2022-05-05T17:20:42Z,11971,3
26,2022-05-05T17:20:42Z,11971,3
26,2022-05-05T17:24:40Z,991,4
26,2022-05-05T17:24:40Z,991,4
26,2022-05-05T17:25:38Z,24336,5
26,2022-05-05T17:26:20Z,10132,5
27,2022-05-17T01:06:24Z,11605,4
27,2022-05-17T01:06:40Z,31820,5
27,2022-05-17T01:06:40Z,31820,5
27,2022-05-17T01:06:40Z,31820,4
27,2022-05-17T01:06:40Z,31820,4
27,2022-05-17T01:06:44Z,25206,4
27,2022-05-17T01:07:05Z,11605,4
27,2022-05-17T01:07:08Z,11605,4
27,2022-05-17T01:07:09Z,11605,4
27,2022-05-17T01:07:12Z,31820,5
27,2022-05-17T01:07:12Z,31820,4
27,2022-05-17T01:07:14Z,53747,4
27,2022-05-17T01:07:28Z,31820,5
27,2022-05-17T01:07:28Z,31820,4
27,2022-05-17T01:07:31Z,14774,5
27,2022-05-17T01:07:31Z,14774,4
27,2022-05-17T01:07:37Z,19354,4
27,2022-05-17T01:09:43Z,19354,4
27,2022-05-17T01:09:44Z,47992,4
27,2022-05-17T01:15:39Z,23420,4
28,2022-04-29T22:05:16Z,40268,3
28,2022-04-29T22:05:16Z,40268,3
28,2022-04-29T22:06:10Z,43018,3
28,2022-04-29T22:06:10Z,43018,3
28,2022-04-29T22:06:36Z,48843,3
28,2022-04-29T22:06:36Z,48843,3
29,2022-04-02T23:37:23Z,55872,5
29,2022-04-02T23:37:23Z,55872,3
29,2022-04-02T23:37:27Z,4237,3
29,2022-04-02T23:37:27Z,4237,3
30,2022-05-02T17:15:05Z,10903,5
30,2022-05-02T17:15:24Z,55495,5
30,2022-05-02T17:16:12Z,3674,5
30,2022-05-02T17:18:53Z,44545,3
30,2022-05-02T17:18:53Z,44545,3
30,2022-05-02T17:19:37Z,28066,3
30,2022-05-02T17:19:54Z,49506,3
30,2022-05-02T17:20:25Z,55659,5
31,2022-03-16T00:23:12Z,60193,5
31,2022-03-16T00:23:12Z,60193,5
32,2022-05-05T00:09:54Z,16850,3
32,2022-05-05T00:09:54Z,16850,3
32,2022-05-05T00:11:57Z,56449,3
32,2022-05-05T00:11:57Z,56449,3
32,2022-05-05T00:14:00Z,56449,3
32,2022-05-05T00:14:00Z,56449,3
32,2022-05-05T00:15:13Z,56449,3
32,2022-05-05T00:15:14Z,56449,3
32,2022-05-05T00:15:50Z,56449,3
32,2022-05-05T00:15:50Z,56449,3
32,2022-05-05T00:24:25Z,56449,3
32,2022-05-05T00:24:25Z,56449,3
32,2022-05-05T00:26:52Z,32357,5
32,2022-05-05T00:27:37Z,30278,5
32,2022-05-05T00:27:37Z,30278,5
32,2022-05-05T00:27:51Z,32357,5
32,2022-05-05T00:28:10Z,38097,5
32,2022-05-05T00:28:10Z,38097,4
32,2022-05-05T00:28:15Z,48783,5
32,2022-05-05T00:28:51Z,36880,5
32,2022-05-05T00:28:51Z,36880,5
32,2022-05-05T00:29:28Z,48044,5
32,2022-05-05T00:29:28Z,48044,5
32,2022-05-05T00:32:46Z,43600,5
32,2022-05-05T00:32:49Z,46210,5
32,2022-05-05T00:32:58Z,43600,5
32,2022-05-05T00:33:00Z,46210,5
32,2022-05-05T00:33:15Z,43600,5
32,2022-05-05T00:35:42Z,38097,4
32,2022-05-05T00:35:42Z,38097,4
32,2022-05-05T00:35:56Z,30278,5
32,2022-05-05T00:35:56Z,30278,5
33,2022-05-18T02:57:46Z,36880,5
33,2022-05-18T02:57:46Z,36880,5
33,2022-05-18T02:59:23Z,43922,4
34,2022-03-30T00:15:59Z,24342,3
34,2022-03-30T00:15:59Z,24342,3
35,2022-04-19T21:03:43Z,54984,5
35,2022-04-19T21:03:43Z,54984,5
36,2022-05-03T23:35:01Z,51869,5
36,2022-05-03T23:35:01Z,51869,4
36,2022-05-04T00:03:28Z,651,5
36,2022-05-04T00:03:28Z,651,4
36,2022-05-04T00:29:08Z,51869,5
36,2022-05-04T00:29:08Z,51869,4
37,2022-05-04T01:10:48Z,40867,5
37,2022-05-04T01:10:48Z,40867,4
37,2022-05-04T01:11:01Z,16268,5
37,2022-05-04T01:11:11Z,25673,5
37,2022-05-04T01:11:15Z,58297,5
37,2022-05-04T01:11:37Z,58297,5
37,2022-05-04T01:11:38Z,23809,5
37,2022-05-04T01:11:38Z,23809,4
37,2022-05-04T01:11:53Z,16268,5
37,2022-05-04T01:11:55Z,40867,5
37,2022-05-04T01:11:55Z,40867,4
37,2022-05-04T01:11:57Z,58297,5
37,2022-05-04T01:11:58Z,40867,5
37,2022-05-04T01:11:58Z,40867,4
37,2022-05-04T01:12:06Z,54363,3
37,2022-05-04T01:12:06Z,54363,3
37,2022-05-04T01:24:29Z,29407,3
37,2022-05-04T01:32:30Z,54363,3
38,2022-04-11T16:08:01Z,19579,3
38,2022-04-11T16:08:01Z,19579,3
39,2022-03-23T00:08:50Z,60079,3
39,2022-03-23T00:08:50Z,60079,3
39,2022-03-23T00:10:53Z,60079,3
39,2022-03-23T00:10:54Z,60079,3
39,2022-03-23T00:14:17Z,45285,5
39,2022-03-23T00:22:44Z,60079,3
39,2022-03-23T00:22:44Z,60079,3
39,2022-03-23T00:23:31Z,60079,3
39,2022-03-23T00:23:31Z,60079,3
39,2022-03-23T00:24:13Z,60079,3
39,2022-03-23T00:24:13Z,60079,3
39,2022-03-23T00:25:51Z,41169,3
39,2022-03-23T00:25:51Z,41169,3
39,2022-03-23T00:28:05Z,5068,5
39,2022-03-23T00:28:05Z,5068,3
39,2022-03-23T00:28:44Z,41169,3
39,2022-03-23T00:28:44Z,41169,3
40,2022-04-15T23:14:55Z,18710,3
40,2022-04-15T23:14:55Z,18710,3
41,2022-03-29T01:24:31Z,42461,5
41,2022-03-29T01:24:31Z,42461,3
42,2022-05-13T02:28:13Z,28023,3
42,2022-05-13T02:28:13Z,28023,3
43,2022-04-22T11:29:09Z,59101,3
43,2022-04-22T11:29:09Z,59101,3
44,2022-05-21T23:39:29Z,18216,3
44,2022-05-21T23:39:29Z,18216,3
45,2022-04-09T07:03:32Z,18905,5
45,2022-04-09T07:03:32Z,18905,5
46,2022-04-16T06:58:12Z,36004,3
46,2022-04-16T06:58:12Z,36004,3
46,2022-04-16T06:59:20Z,41521,3
46,2022-04-16T06:59:20Z,41521,3
46,2022-04-16T06:59:49Z,22810,3
46,2022-04-16T06:59:49Z,22810,3
46,2022-04-16T07:04:22Z,23119,3
46,2022-04-16T07:04:22Z,23119,3
46,2022-04-16T07:04:36Z,39585,4
46,2022-04-16T07:04:44Z,15396,4
46,2022-04-16T07:04:47Z,1068,5
46,2022-04-16T07:04:52Z,58753,4
46,2022-04-16T07:05:04Z,3552,4
46,2022-04-16T07:05:47Z,39585,5
46,2022-04-16T07:05:47Z,39585,4
46,2022-04-16T07:06:02Z,39585,5
46,2022-04-16T07:06:02Z,39585,4
46,2022-04-16T07:06:06Z,21711,5
46,2022-04-16T07:06:15Z,55078,5
46,2022-04-16T07:06:15Z,55078,4
46,2022-04-16T07:06:22Z,27715,5
46,2022-04-16T07:07:41Z,59449,3
46,2022-04-16T07:07:41Z,59449,3
46,2022-04-16T07:07:55Z,42198,4
46,2022-04-16T07:07:59Z,42198,4
46,2022-04-16T07:08:00Z,7191,5
46,2022-04-16T07:08:00Z,52685,5
46,2022-04-16T07:08:02Z,52685,5
46,2022-04-16T07:08:02Z,31718,4
46,2022-04-16T07:08:03Z,27556,5
46,2022-04-16T07:08:05Z,13565,5
46,2022-04-16T07:08:05Z,42764,4
46,2022-04-16T07:08:06Z,60956,4
46,2022-04-16T07:09:36Z,6304,5
46,2022-04-16T07:09:36Z,6304,5
47,2022-05-17T23:33:18Z,10750,5
47,2022-05-17T23:33:49Z,30370,5
47,2022-05-17T23:34:12Z,32347,5
47,2022-05-17T23:34:21Z,55084,5
47,2022-05-17T23:34:21Z,55084,4
47,2022-05-17T23:36:19Z,32347,5
47,2022-05-17T23:36:19Z,32347,5
48,2022-05-13T16:29:53Z,62154,5
48,2022-05-13T16:30:00Z,11432,3
48,2022-05-13T16:30:00Z,11432,3
49,2022-05-13T17:12:28Z,18705,3
50,2022-03-06T02:29:09Z,18579,5
50,2022-03-06T02:29:09Z,18579,5
51,2022-03-20T18:23:02Z,44454,3
51,2022-03-20T18:23:02Z,44454,3
51,2022-03-20T18:23:18Z,47502,3
51,2022-03-20T18:23:18Z,47502,3
51,2022-03-20T18:23:31Z,18392,3
51,2022-03-20T18:23:31Z,18392,3
51,2022-03-20T18:23:45Z,35725,3
51,2022-03-20T18:23:45Z,35725,3
51,2022-03-20T18:23:57Z,55892,3
51,2022-03-20T18:23:57Z,55892,3
51,2022-03-20T18:24:09Z,32174,3
51,2022-03-20T18:24:09Z,32174,3
51,2022-03-20T18:24:19Z,32452,3
51,2022-03-20T18:24:19Z,32452,3
51,2022-03-20T18:24:48Z,34517,3
51,2022-03-20T18:24:48Z,34517,3
51,2022-03-20T18:27:19Z,6222,3
51,2022-03-20T18:27:20Z,6222,3
52,2022-05-31T19:01:48Z,52285,3
52,2022-05-31T19:01:48Z,52285,3
52,2022-05-31T19:02:47Z,19235,3
52,2022-05-31T19:02:47Z,19235,3
53,2022-05-31T03:09:54Z,19027,5
53,2022-05-31T03:09:54Z,19027,5
54,2022-05-27T19:26:17Z,16043,3
54,2022-05-27T19:26:17Z,16043,3
55,2022-04-17T11:59:36Z,44181,5
