sessionId,timestamp,itemId,category
1,2022-04-30T21:17:16Z,583,5
1,2022-04-30T21:17:16Z,583,5
1,2022-04-30T21:21:35Z,583,5
1,2022-04-30T21:21:35Z,583,5
1,2022-04-30T21:22:03Z,583,4
2,2022-05-27T16:21:05Z,343,5
2,2022-05-27T16:21:05Z,343,3
2,2022-05-27T16:21:21Z,343,3
2,2022-05-27T16:21:21Z,343,4
2,2022-05-27T16:21:24Z,343,3
2,2022-05-27T16:21:24Z,343,4
2,2022-05-27T16:21:26Z,343,5
2,2022-05-27T16:21:26Z,343,3
2,2022-05-27T16:21:28Z,343,3
2,2022-05-27T16:21:28Z,343,4
2,2022-05-27T16:21:32Z,343,3
2,2022-05-27T16:21:32Z,343,4
3,2022-03-02T19:43:25Z,43,5
3,2022-03-02T19:45:52Z,43,5
3,2022-03-02T19:50:57Z,43,5
3,2022-03-02T19:50:57Z,43,4
3,2022-03-02T19:51:02Z,43,5
3,2022-03-02T19:51:06Z,43,5
3,2022-03-02T19:51:06Z,43,4
3,2022-03-02T19:51:10Z,43,5
3,2022-03-02T19:51:13Z,43,5
4,2022-03-16T14:54:07Z,527,5
4,2022-03-16T14:54:07Z,527,4
5,2022-05-05T03:12:10Z,499,5
5,2022-05-05T03:12:10Z,499,4
5,2022-05-05T03:15:28Z,499,5
5,2022-05-05T03:17:19Z,499,5
5,2022-05-05T03:17:19Z,499,4
6,2022-04-28T14:26:10Z,464,3
6,2022-04-28T14:26:10Z,464,3
6,2022-04-28T14:26:28Z,464,3
6,2022-04-28T14:26:28Z,464,3
8,2022-04-27T02:47:53Z,274,5
8,2022-04-27T02:48:30Z,274,5
8,2022-04-27T02:48:30Z,274,5
8,2022-04-27T02:48:52Z,274,5
8,2022-04-27T02:49:46Z,274,5
8,2022-04-27T02:49:46Z,274,5
8,2022-04-27T02:49:49Z,274,5
8,2022-04-27T03:01:01Z,274,5
8,2022-04-27T03:01:01Z,274,4
8,2022-04-27T03:01:42Z,274,5
10,2022-03-03T18:37:14Z,251,3
10,2022-03-03T18:37:14Z,251,3
10,2022-03-03T18:39:25Z,251,3
10,2022-03-03T18:39:25Z,251,3
10,2022-03-03T18:40:14Z,251,5
10,2022-03-03T18:40:14Z,251,5
10,2022-03-03T18:41:01Z,251,5
10,2022-03-03T18:41:01Z,251,5
10,2022-03-03T18:41:12Z,251,5
10,2022-03-03T18:41:12Z,251,5
10,2022-03-03T18:41:52Z,251,5
10,2022-03-03T18:41:52Z,251,5
11,2022-04-22T18:04:00Z,249,5
12,2022-05-03T23:05:58Z,341,5
12,2022-05-03T23:05:58Z,341,3
13,2022-04-10T08:12:49Z,207,5
15,2022-05-26T19:23:27Z,150,3
15,2022-05-26T19:23:28Z,150,3
15,2022-05-26T19:23:47Z,150,3
15,2022-05-26T19:24:03Z,150,3
15,2022-05-26T19:24:19Z,150,3
15,2022-05-26T19:25:04Z,150,3
15,2022-05-26T19:26:45Z,150,3
15,2022-05-26T19:26:45Z,150,3
15,2022-05-26T19:27:45Z,150,3
15,2022-05-26T19:27:45Z,150,3
15,2022-05-26T19:30:04Z,150,3
15,2022-05-26T19:30:04Z,150,3
15,2022-05-26T19:31:06Z,150,3
15,2022-05-26T19:31:06Z,150,3
16,2022-04-05T03:57:01Z,551,3
16,2022-04-05T03:57:01Z,551,3
16,2022-04-05T04:02:13Z,551,3
16,2022-04-05T04:05:14Z,527,3
16,2022-04-05T04:05:14Z,527,3
17,2022-05-13T12:43:38Z,102,3
17,2022-05-13T12:43:38Z,102,3
18,2022-05-26T04:57:11Z,16,3
18,2022-05-26T04:57:11Z,16,3
18,2022-05-26T04:57:34Z,16,3
18,2022-05-26T04:57:34Z,16,3
18,2022-05-26T04:57:47Z,16,3
19,2022-05-19T02:03:22Z,467,5
19,2022-05-19T02:09:17Z,467,5
19,2022-05-19T02:09:17Z,467,5
20,2022-05-19T17:24:01Z,386,5
20,2022-05-19T17:24:01Z,386,4
20,2022-05-19T17:24:30Z,386,5
20,2022-05-19T17:24:43Z,386,5
21,2022-05-17T07:36:48Z,446,5
21,2022-05-17T07:36:48Z,446,5
21,2022-05-17T07:48:57Z,446,4
21,2022-05-17T07:51:19Z,446,5
21,2022-05-17T07:51:19Z,446,5
21,2022-05-17T08:05:14Z,194,3
21,2022-05-17T08:05:14Z,194,3
21,2022-05-17T08:06:28Z,194,3
21,2022-05-17T08:06:40Z,194,3
21,2022-05-17T08:06:41Z,194,3
21,2022-05-17T08:06:44Z,194,3
21,2022-05-17T08:10:57Z,194,3
21,2022-05-17T08:13:22Z,194,3
21,2022-05-17T08:13:22Z,194,3
21,2022-05-17T08:28:44Z,194,5
21,2022-05-17T08:29:09Z,194,4
21,2022-05-17T08:29:36Z,194,5
21,2022-05-17T08:30:18Z,194,5
22,2022-03-10T05:00:23Z,29,3
22,2022-03-10T05:00:24Z,29,3
22,2022-03-10T05:00:45Z,29,5
23,2022-03-08T15:14:39Z,527,5
23,2022-03-08T15:14:55Z,527,5
24,2022-05-03T01:08:11Z,625,5
24,2022-05-03T01:08:11Z,625,5
24,2022-05-03T01:10:43Z,625,5
